RFQ_CONFIG_VERSION_ID,RFQ_ID,FEATURE_AS_OF_TIMESTAMP,REVIEWED_AT,SOURCE_LANGUAGE,DOCUMENT_LENGTH_CHARS,PAGE_COUNT,OCR_QUALITY_SCORE,DOCUMENT_COMPLEXITY_SCORE,AMBIGUITY_TERM_COUNT,CONFLICTING_PHRASE_COUNT,UNSUPPORTED_VALUE_COUNT,SYNONYM_MATCH_STRENGTH,TRANSLATION_USED_FLAG,TRANSLATION_QUALITY_SCORE,SOURCE_TEXT_PRESENT_FLAG,EXTRACTED_ENGINE,EXTRACTED_CAB,EXTRACTED_WHEEL,EXTRACTED_COLOR,ENGINE_EXTRACTION_CONFIDENCE,CAB_EXTRACTION_CONFIDENCE,WHEEL_EXTRACTION_CONFIDENCE,COLOR_EXTRACTION_CONFIDENCE,ENGINE_TEXT_EVIDENCE_FLAG,CAB_TEXT_EVIDENCE_FLAG,WHEEL_TEXT_EVIDENCE_FLAG,COLOR_TEXT_EVIDENCE_FLAG,VALID_EXTRACTED_VALUE_COUNT,TEXT_SUPPORTED_VALUE_COUNT,MISSING_REQUIREMENT_COUNT,EXACT_PHRASE_MATCH_COUNT,SYNONYM_MATCH_COUNT,RULE_VALIDATION_PASS_COUNT,CORTEX_EXTRACTION_STATUS,CORTEX_REASONING_AVAILABLE_FLAG,RULE_BMCS_SCORE,CORTEX_CONFIDENCE_SCORE,DEVELOPMENT_HYBRID_BMCS_SCORE,ENGINEER_FINAL_ENGINE,ENGINEER_FINAL_CAB,ENGINEER_FINAL_WHEEL,ENGINEER_FINAL_COLOR,ENGINEER_CORRECTION_COUNT,ENGINEER_ACCEPTED_WITHOUT_CHANGE_FLAG,FINAL_REVIEW_OUTCOME,REVIEWER_ROLE,CORRECT_MAPPING_FLAG
RFQCFG_BMCSV2_0008464_V1,RFQ_BMCSV2_0008464,2022-01-01 07:04:00,2022-01-12 10:04:00,FR,2521,2,0.824133,50.088,0,0,0,0.750832,1,0.971377,1,V6,STANDARD,STANDARD,RED,0.902181,0.995,0.822226,0.995,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,92.860152,94.744061,V6,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0019701_V1,RFQ_BMCSV2_0019701,2022-01-01 09:11:00,2022-01-04 11:11:00,FR,6462,4,0.783228,71.1378,0,0,1,0.719078,1,0.937032,1,V6,PREMIUM,OFFROAD,RED,0.873448,0.995,0.881484,0.871384,1,1,1,1,4,4,0,2,2,4,COMPLETE,1,96.0,88.032911,92.813164,V6,PREMIUM,OFFROAD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0016725_V1,RFQ_BMCSV2_0016725,2022-01-01 09:15:00,2022-01-05 11:15:00,EN,6719,5,0.938039,62.9652,0,0,0,0.664967,0,1.0,1,V8,STANDARD,OFFROAD,BLUE,0.995,0.923084,0.872841,0.995,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,96.0,94.648122,95.459249,V8,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0006542_V1,RFQ_BMCSV2_0006542,2022-01-01 09:57:00,2022-01-10 14:57:00,EN,10734,10,0.942622,50.1128,2,0,0,0.662456,0,1.0,1,V8,STANDARD,OFFROAD,BLUE,0.764421,0.876745,0.837465,0.904653,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,80.5,84.58212,82.132848,V8,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0016626_V1,RFQ_BMCSV2_0016626,2022-01-01 10:17:00,2022-01-10 17:17:00,ES,1056,1,0.862273,42.158,2,0,0,0.823011,1,0.832204,1,V8,STANDARD,STANDARD,RED,0.748802,0.824301,0.807826,0.624716,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,80.5,75.141142,78.356457,V8,STANDARD,STANDARD,BLUE,1,0,CORRECTED_AND_ACCEPTED,COST_ENGINEER,0
RFQCFG_BMCSV2_0021631_V1,RFQ_BMCSV2_0021631,2022-01-01 11:27:00,2022-01-09 14:27:00,EN,1072,1,0.957519,64.7848,1,1,0,0.923829,0,1.0,1,V6,STANDARD,STANDARD,RED,0.740861,0.783231,0.829877,0.729522,0,0,1,0,4,1,0,1,0,4,PARTIAL,1,57.5,73.587283,63.934913,V6,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0003281_V1,RFQ_BMCSV2_0003281,2022-01-01 13:18:00,2022-01-06 20:18:00,EN,1674,2,0.876007,61.0471,0,0,0,0.608126,0,1.0,1,V6,STANDARD,STANDARD,BLUE,0.881881,0.925109,0.980183,0.995,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,94.55434,95.421736,V6,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,0
RFQCFG_BMCSV2_0023101_V1,RFQ_BMCSV2_0023101,2022-01-01 13:21:00,2022-01-15 15:21:00,FR,1907,2,0.883515,52.8508,2,2,1,0.522496,1,0.900593,1,V6,PREMIUM,OFFROAD,BLUE,0.781551,0.801092,0.668193,0.605256,1,1,0,0,4,2,0,1,1,4,PARTIAL,1,60.0,61.902327,60.760931,V6,PREMIUM,OFFROAD,RED,1,0,CORRECTED_AND_ACCEPTED,RFQ_REVIEW_LEAD,0
RFQCFG_BMCSV2_0003602_V1,RFQ_BMCSV2_0003602,2022-01-01 13:25:00,2022-01-03 15:25:00,EN,2368,2,0.817445,53.5811,2,0,0,0.359857,0,1.0,1,V8,PREMIUM,OFFROAD,BLUE,0.880183,0.916632,0.705396,0.796157,1,1,0,0,4,2,0,2,0,4,PARTIAL,1,60.0,82.459197,68.983679,V8,PREMIUM,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0001070_V1,RFQ_BMCSV2_0001070,2022-01-01 15:14:00,2022-01-05 21:14:00,EN,2485,2,0.885169,56.3996,2,1,1,0.962758,0,1.0,1,V6,STANDARD,STANDARD,RED,0.509162,0.813154,0.82007,0.58394,0,1,1,1,4,3,0,2,1,4,COMPLETE,1,70.25,62.158155,67.013262,V8,PREMIUM,STANDARD,BLUE,3,0,REJECTED_AND_REWORKED,COST_ENGINEER,0
RFQCFG_BMCSV2_0017893_V1,RFQ_BMCSV2_0017893,2022-01-01 16:10:00,2022-01-14 23:10:00,DE,3969,4,0.796371,60.455,3,1,0,0.587687,1,0.801764,1,V8,STANDARD,STANDARD,RED,0.757561,0.743579,0.54325,0.901944,0,1,0,1,4,2,0,1,1,4,PARTIAL,1,52.25,70.158336,59.413334,V8,STANDARD,OFFROAD,RED,1,0,CORRECTED_AND_ACCEPTED,COST_ENGINEER,0
RFQCFG_BMCSV2_0020292_V1,RFQ_BMCSV2_0020292,2022-01-01 16:47:00,2022-01-08 20:47:00,EN,2757,3,0.889068,52.8524,0,0,0,0.825709,0,1.0,1,V6,STANDARD,STANDARD,RED,0.878421,0.853649,0.915655,0.995,1,1,1,1,4,4,0,4,0,4,COMPLETE,1,96.0,91.068138,94.027255,V6,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0023951_V1,RFQ_BMCSV2_0023951,2022-01-01 16:47:00,2022-01-13 21:47:00,EN,1547,2,0.999,71.2656,1,0,1,0.801871,0,1.0,1,V8,STANDARD,STANDARD,BLUE,0.977455,0.995,0.974962,0.936992,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,88.25,94.610244,90.794098,V8,STANDARD,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,COST_ENGINEER,1
RFQCFG_BMCSV2_0007259_V1,RFQ_BMCSV2_0007259,2022-01-01 18:09:00,2022-01-10 21:09:00,FR,2082,2,0.841765,31.0779,1,0,1,0.551775,1,0.961685,1,V8,PREMIUM,OFFROAD,RED,0.95772,0.809489,0.887152,0.828149,1,0,1,1,4,3,0,2,1,4,COMPLETE,1,78.0,84.562737,80.625095,V8,PREMIUM,OFFROAD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0001825_V1,RFQ_BMCSV2_0001825,2022-01-01 18:50:00,2022-01-12 22:50:00,EN,6971,6,0.957161,83.1055,2,1,1,0.815475,0,1.0,0,UNKNOWN,PREMIUM,STANDARD,BLUE,0.565045,0.731242,0.41906,0.853069,0,0,0,0,3,0,1,0,0,3,FAILED,0,25.75,45.210378,33.534151,V8,PREMIUM,OFFROAD,BLUE,2,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
RFQCFG_BMCSV2_0008557_V1,RFQ_BMCSV2_0008557,2022-01-02 07:18:00,2022-01-03 13:18:00,EN,2917,3,0.893366,44.6908,1,0,1,0.9106,0,1.0,1,V8,STANDARD,STANDARD,RED,0.858679,0.933999,0.862063,0.985594,1,1,1,1,4,4,0,2,2,4,COMPLETE,1,88.25,88.508353,88.353341,V8,STANDARD,STANDARD,RED,0,1,ACCEPTED_WITHOUT_CHANGE,RFQ_REVIEW_LEAD,1
RFQCFG_BMCSV2_0004488_V1,RFQ_BMCSV2_0004488,2022-01-02 07:20:00,2022-01-11 11:20:00,EN,2097,2,0.979992,31.1567,1,0,0,0.774729,0,1.0,1,V6,PREMIUM,STANDARD,BLUE,0.855276,0.889005,0.969126,0.962565,1,0,1,1,4,3,0,3,0,4,COMPLETE,1,78.0,91.899289,83.559716,V6,PREMIUM,STANDARD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0021735_V1,RFQ_BMCSV2_0021735,2022-01-02 07:31:00,2022-01-05 10:31:00,EN,3734,3,0.889032,50.0893,0,0,0,0.955552,0,1.0,1,V6,STANDARD,OFFROAD,BLUE,0.829499,0.928644,0.925563,0.873492,1,1,1,1,4,4,0,3,1,4,COMPLETE,1,96.0,88.929934,93.171974,V6,STANDARD,OFFROAD,BLUE,0,1,ACCEPTED_WITHOUT_CHANGE,CONFIGURATION_ENGINEER,1
RFQCFG_BMCSV2_0017460_V1,RFQ_BMCSV2_0017460,2022-01-02 08:16:00,2022-01-08 15:16:00,EN,6836,6,0.952642,92.6936,1,1,0,0.705591,0,1.0,1,V8,STANDARD,STANDARD,RED,0.866065,0.883883,0.794897,0.719378,1,1,1,0,4,3,0,2,1,4,COMPLETE,1,78.0,78.105577,78.042231,V8,STANDARD,STANDARD,BLUE,1,0,CORRECTED_AND_ACCEPTED,CONFIGURATION_ENGINEER,0
