PRODUCTION_BATCH_ID,KMAT_ID,PRODUCTION_DATE,PLANT_ID,PRODUCTION_LINE_ID,ENGINE,CAB,WHEEL,COLOR,BATCH_QUANTITY,COMPONENT_COUNT,ROUTING_OPERATION_COUNT,CRITICAL_COMPONENT_COUNT,BULK_MATERIAL_PCT,AVG_TEMPERATURE_C,AVG_HUMIDITY_PCT,AUTOMATION_LEVEL_PCT,SUPPLIER_QUALITY_SCORE,CHANGEOVER_COUNT,OPERATOR_EXPERIENCE_YEARS,LINE_UTILIZATION_PCT,RECENT_LINE_DOWNTIME_MIN,MACHINE_HEALTH_SCORE,PRIOR_LINE_SCRAP_RATE_PCT,PRIOR_CONFIG_SCRAP_RATE_PCT,CONFIG_NOVELTY_SCORE,PRIOR_7D_REWORK_RATE_PCT,SUPPLIER_30D_DEFECT_RATE_PCT,ACTUAL_SCRAP_RATE_PCT,HIGH_SCRAP_FLAG
BATCHV2_000001,KMAT_TRUCK_01,2022-01-01,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,BLUE,52,43,17,7,0.12,28.01,55.059,74.023,89.529,5,9.779,59.858,12.403,77.041,2.1708,2.8354,35.957,1.5198,3.8801,0.5542,0
BATCHV2_000002,KMAT_TRUCK_01,2022-01-01,PLANT_US_01,TRUCK_LINE_02,V8,STANDARD,OFFROAD,RED,8,52,20,11,0.1444,22.971,65.826,64.362,98.026,2,8.893,75.819,6.95,82.408,2.6094,2.3469,30.271,2.5812,0.4637,5.2776,1
BATCHV2_000003,KMAT_TRUCK_01,2022-01-01,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,STANDARD,BLUE,16,45,17,8,0.1489,26.162,57.486,79.5,97.089,5,4.195,68.312,14.16,86.973,2.6671,1.9239,61.459,2.4276,1.4094,1.6228,0
BATCHV2_000004,KMAT_TRUCK_01,2022-01-01,PLANT_IN_01,TRUCK_LINE_05,V8,PREMIUM,OFFROAD,RED,48,55,20,13,0.1359,29.542,53.202,64.151,91.392,3,7.897,81.051,24.649,70.313,2.1916,4.8867,88.036,1.8494,3.1198,6.2245,1
BATCHV2_000005,KMAT_TRUCK_01,2022-01-01,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,OFFROAD,BLUE,74,56,20,14,0.132,22.295,57.715,66.452,96.435,1,6.435,79.676,18.934,88.742,0.962,4.1542,17.586,0.9037,0.7551,1.6495,0
BATCHV2_000006,KMAT_TRUCK_01,2022-01-01,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,OFFROAD,RED,73,50,20,10,0.153,21.884,43.863,58.624,90.317,4,7.055,71.787,2.558,83.586,2.2764,2.9191,36.507,1.4673,2.9609,5.6871,1
BATCHV2_000007,KMAT_TRUCK_01,2022-01-01,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,STANDARD,RED,70,51,20,9,0.1244,19.581,52.042,55.0,89.294,3,6.584,75.61,37.589,62.346,2.4456,3.6631,38.122,1.5312,4.0634,2.1392,0
BATCHV2_000008,KMAT_TRUCK_01,2022-01-01,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,STANDARD,BLUE,67,44,16,7,0.1573,21.917,41.87,71.644,91.593,0,7.587,75.98,47.927,87.443,1.51,2.8332,17.78,1.1366,4.0751,0.8499,0
BATCHV2_000009,KMAT_TRUCK_01,2022-01-01,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,STANDARD,RED,55,41,15,6,0.1483,23.369,42.4,68.191,95.588,5,9.042,81.996,32.988,86.087,2.008,2.5956,26.355,1.0788,1.7613,1.8497,0
BATCHV2_000010,KMAT_TRUCK_01,2022-01-01,PLANT_IN_01,TRUCK_LINE_05,V6,PREMIUM,STANDARD,RED,25,47,18,6,0.142,26.483,54.26,61.669,97.133,1,4.448,82.522,11.389,80.842,2.0162,2.6026,36.739,1.4096,1.0459,1.5338,0
BATCHV2_000011,KMAT_TRUCK_01,2022-01-01,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,OFFROAD,BLUE,44,44,18,8,0.1405,23.964,51.612,69.432,96.668,1,7.171,81.811,11.084,75.541,2.6082,3.0558,35.558,1.3411,1.9246,2.17,0
BATCHV2_000012,KMAT_TRUCK_01,2022-01-01,PLANT_IN_01,TRUCK_LINE_05,V8,PREMIUM,STANDARD,RED,35,50,20,10,0.0873,29.243,52.861,60.942,89.535,0,6.105,78.176,9.582,89.123,1.1517,2.7876,9.865,1.0515,3.3932,1.7633,0
BATCHV2_000013,KMAT_TRUCK_01,2022-01-01,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,OFFROAD,RED,59,45,17,8,0.1284,19.97,53.458,68.502,85.252,6,6.823,91.081,33.43,83.513,2.417,2.4458,19.922,1.3178,5.8415,1.1851,0
BATCHV2_000014,KMAT_TRUCK_01,2022-01-02,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,OFFROAD,RED,34,58,20,13,0.1628,25.807,55.571,74.461,92.368,1,2.395,75.651,11.451,85.775,1.3038,5.0129,28.546,0.8055,3.2185,5.948,1
BATCHV2_000015,KMAT_TRUCK_01,2022-01-02,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,OFFROAD,BLUE,9,49,19,10,0.1596,22.684,49.638,71.85,90.821,5,10.273,67.587,15.108,74.589,1.7049,3.3612,42.992,1.8309,3.4267,4.9052,1
BATCHV2_000016,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_04,V8,STANDARD,OFFROAD,BLUE,80,51,20,11,0.0875,22.248,57.394,56.902,92.747,2,4.016,81.728,29.499,74.074,2.8008,3.0565,42.229,1.6313,2.4554,2.1937,0
BATCHV2_000017,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,STANDARD,BLUE,34,39,15,5,0.1158,24.085,48.466,62.151,96.983,2,9.678,69.813,10.39,82.769,1.7733,2.5261,18.882,1.3354,0.857,1.6287,0
BATCHV2_000018,KMAT_TRUCK_01,2022-01-02,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,STANDARD,BLUE,69,41,16,5,0.1328,28.393,52.414,75.564,92.052,2,5.027,69.424,15.204,84.959,1.6105,1.8636,57.02,1.0329,2.7114,2.4253,0
BATCHV2_000019,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_05,V8,PREMIUM,OFFROAD,RED,65,57,22,12,0.122,24.129,58.2,55.861,94.64,2,1.405,82.545,14.402,79.398,1.4468,4.1993,62.471,0.9733,1.4449,5.9448,1
BATCHV2_000020,KMAT_TRUCK_01,2022-01-02,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,STANDARD,BLUE,39,46,16,7,0.1561,22.45,43.166,77.243,89.503,3,3.374,85.764,4.313,86.967,0.4963,2.5496,59.607,0.5417,3.3485,1.7453,0
BATCHV2_000021,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_04,V6,STANDARD,OFFROAD,BLUE,38,42,16,9,0.1369,23.935,53.849,59.144,95.841,5,7.097,75.007,34.578,73.641,3.6745,2.6459,25.033,3.8581,1.3376,1.8046,0
BATCHV2_000022,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,RED,56,46,17,7,0.1476,24.814,59.266,70.762,89.029,1,10.761,70.953,11.487,81.954,1.6854,1.9543,41.505,0.9077,3.9002,1.341,0
BATCHV2_000023,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,RED,11,44,18,9,0.1301,25.864,66.843,72.215,90.95,3,9.605,84.348,6.566,73.46,2.3483,2.5197,28.988,2.3003,4.0494,5.6694,1
BATCHV2_000024,KMAT_TRUCK_01,2022-01-02,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,BLUE,26,47,18,9,0.1451,24.258,59.01,74.579,91.748,0,7.034,77.364,14.18,79.248,1.6587,1.2909,12.95,1.9272,3.0921,0.3636,0
BATCHV2_000025,KMAT_TRUCK_01,2022-01-03,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,STANDARD,BLUE,18,37,16,4,0.1167,25.194,61.203,68.886,86.646,1,5.119,71.827,6.095,88.64,0.836,1.5309,16.909,0.4458,4.6708,1.8656,0
BATCHV2_000026,KMAT_TRUCK_01,2022-01-03,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,OFFROAD,RED,63,58,22,14,0.1883,28.682,53.068,58.972,93.595,3,4.901,83.898,21.094,71.438,2.4168,3.4923,50.359,2.3694,2.1496,6.3864,1
BATCHV2_000027,KMAT_TRUCK_01,2022-01-03,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,STANDARD,RED,22,44,16,8,0.1367,25.225,51.368,64.261,90.754,0,6.554,96.89,44.406,78.198,2.4512,2.7977,21.133,1.785,3.0891,1.6136,0
BATCHV2_000028,KMAT_TRUCK_01,2022-01-03,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,STANDARD,RED,54,41,16,4,0.1015,22.69,47.922,65.376,94.106,2,9.908,83.41,1.212,80.431,1.6288,1.53,43.926,1.0157,1.5975,2.0515,0
BATCHV2_000029,KMAT_TRUCK_01,2022-01-03,PLANT_US_01,TRUCK_LINE_01,V8,PREMIUM,OFFROAD,RED,48,56,22,12,0.1553,25.956,43.325,68.911,82.25,1,8.231,75.61,3.274,86.779,1.8628,3.437,56.834,1.1296,6.3647,1.5801,0
BATCHV2_000030,KMAT_TRUCK_01,2022-01-03,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,STANDARD,RED,43,38,14,6,0.126,22.799,50.669,80.285,97.495,6,5.719,73.036,7.478,93.551,0.4,1.4739,16.98,0.3659,0.3505,1.7711,0
BATCHV2_000031,KMAT_TRUCK_01,2022-01-03,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,STANDARD,BLUE,32,46,16,8,0.1492,20.422,41.006,55.0,92.171,3,7.145,90.512,15.856,71.669,1.4622,2.4252,9.7,0.8321,2.8185,1.8264,0
BATCHV2_000032,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,STANDARD,BLUE,71,52,18,11,0.1474,23.241,52.172,80.151,96.573,0,6.392,89.903,6.115,89.246,1.4063,3.5499,62.375,1.2514,1.4618,1.498,0
BATCHV2_000033,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,STANDARD,RED,55,45,17,8,0.1835,23.147,46.16,69.121,89.16,2,7.93,70.04,50.563,68.255,1.8973,2.0947,55.074,1.2245,3.3641,1.3768,0
BATCHV2_000034,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V8,PREMIUM,STANDARD,BLUE,81,50,18,11,0.1745,23.825,45.636,70.036,93.631,1,4.082,95.795,12.506,78.539,2.1557,4.2461,44.979,1.4698,2.7783,1.4783,0
BATCHV2_000035,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,STANDARD,BLUE,12,54,18,10,0.1537,24.619,61.338,77.569,85.84,1,0.923,84.077,7.045,82.241,2.8947,3.9428,20.521,2.3015,4.9637,4.5503,1
BATCHV2_000036,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_04,V6,STANDARD,STANDARD,RED,42,41,14,4,0.1065,24.026,57.021,60.856,92.893,2,5.939,70.119,51.769,69.09,2.3698,0.5,23.699,2.3946,2.4787,1.0535,0
BATCHV2_000037,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V8,PREMIUM,STANDARD,BLUE,40,54,19,10,0.1297,21.768,53.01,66.496,87.348,4,7.25,83.493,5.4,73.361,2.4544,3.0891,56.303,1.6413,3.9343,5.5228,1
BATCHV2_000038,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V8,PREMIUM,STANDARD,RED,78,51,19,10,0.1721,24.273,54.085,68.025,91.967,3,2.706,75.534,30.841,83.147,1.4802,2.5579,47.769,1.0932,2.9987,2.0319,0
BATCHV2_000039,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,STANDARD,BLUE,23,46,18,6,0.1993,24.519,37.197,67.167,87.094,4,9.288,83.514,6.352,99.0,1.4919,0.5597,33.226,0.8753,4.7317,2.0984,0
BATCHV2_000040,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,OFFROAD,RED,16,45,17,8,0.1346,26.916,51.171,69.97,91.832,5,7.042,86.28,61.791,74.303,1.3463,3.4618,39.647,1.101,2.8133,1.433,0
BATCHV2_000041,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,OFFROAD,BLUE,16,57,22,12,0.1451,22.924,49.412,77.675,93.435,5,9.127,80.41,71.834,73.31,3.0664,4.2447,63.631,2.8449,2.1943,5.7357,1
BATCHV2_000042,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V8,STANDARD,STANDARD,BLUE,42,43,17,7,0.1364,23.471,43.805,65.119,95.928,0,8.429,78.338,10.845,81.577,1.5076,3.0272,41.133,0.9023,1.4636,0.6469,0
BATCHV2_000043,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,STANDARD,BLUE,44,41,16,4,0.1227,24.265,44.917,77.958,88.027,2,11.367,70.219,18.861,84.611,3.0,2.4667,45.009,2.3903,4.043,2.2469,0
BATCHV2_000044,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,OFFROAD,BLUE,64,53,18,11,0.1572,25.096,44.438,77.84,93.596,3,6.058,84.769,16.454,79.466,1.7744,3.9861,55.474,2.0545,3.0321,5.2797,1
BATCHV2_000045,KMAT_TRUCK_01,2022-01-04,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,STANDARD,RED,27,37,15,6,0.1171,22.78,44.125,68.222,87.519,5,7.925,71.886,25.768,84.472,1.6799,1.3213,14.023,1.0799,4.5102,1.8546,0
BATCHV2_000046,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,RED,11,46,16,9,0.1262,26.381,55.37,62.858,99.0,1,7.738,82.115,6.468,80.388,1.8745,3.0004,64.17,1.8828,0.6366,3.1051,0
BATCHV2_000047,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,STANDARD,BLUE,34,40,14,4,0.0764,22.893,45.257,83.918,94.928,1,4.892,93.508,17.905,74.844,2.1064,2.2011,14.904,1.6473,2.3256,1.2032,0
BATCHV2_000048,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,STANDARD,BLUE,32,39,16,6,0.0824,24.13,61.606,68.56,93.501,6,5.033,88.459,11.967,75.91,1.8304,1.7813,28.338,1.9349,2.4816,0.4088,0
BATCHV2_000049,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,OFFROAD,RED,34,51,20,9,0.1417,23.108,40.296,78.735,98.36,0,9.056,86.901,27.121,94.324,1.6579,3.3763,46.418,1.4993,0.8064,1.1847,0
BATCHV2_000050,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,OFFROAD,BLUE,28,46,16,9,0.1117,24.472,43.59,82.401,86.458,1,4.551,82.42,6.335,88.079,2.0743,3.0986,31.427,2.1956,5.601,1.5979,0
BATCHV2_000051,KMAT_TRUCK_01,2022-01-04,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,RED,75,46,16,7,0.1169,24.455,59.637,62.929,93.392,5,6.684,93.686,18.073,81.919,1.4362,2.456,14.006,0.9531,2.1154,1.6416,0
BATCHV2_000052,KMAT_TRUCK_01,2022-01-04,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,OFFROAD,RED,36,43,18,8,0.1336,26.704,42.292,62.512,87.086,6,8.337,70.219,26.134,81.44,1.914,2.8397,19.725,2.1956,4.6465,2.1965,0
BATCHV2_000053,KMAT_TRUCK_01,2022-01-05,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,STANDARD,RED,59,37,15,4,0.1586,22.169,50.411,68.825,83.526,2,6.906,99.0,12.188,80.313,3.0256,1.7568,4.337,2.2273,6.1301,1.5165,0
BATCHV2_000054,KMAT_TRUCK_01,2022-01-05,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,OFFROAD,RED,16,46,17,8,0.1369,25.854,51.942,66.971,90.354,2,5.227,87.478,6.956,97.882,1.2564,2.8129,26.932,1.2166,3.8792,1.0423,0
BATCHV2_000055,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,OFFROAD,RED,68,59,21,14,0.1869,26.395,46.208,55.0,90.197,4,7.1,99.0,27.673,65.439,2.6982,4.1144,40.547,2.1777,3.8064,7.3112,1
BATCHV2_000056,KMAT_TRUCK_01,2022-01-05,PLANT_DE_01,TRUCK_LINE_03,V6,PREMIUM,STANDARD,RED,75,45,17,7,0.1946,24.521,48.466,65.9,92.549,1,6.112,89.64,24.95,84.397,1.7441,2.7404,34.341,1.3352,1.686,2.4617,0
BATCHV2_000057,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,STANDARD,BLUE,71,41,16,4,0.121,21.427,52.96,71.131,85.068,4,8.48,81.216,8.895,83.428,2.3595,1.6177,38.023,1.7949,5.47,1.9072,0
BATCHV2_000058,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_04,V8,STANDARD,STANDARD,BLUE,29,43,16,7,0.102,24.594,63.959,55.445,94.843,1,10.111,77.354,22.595,79.792,2.6899,2.2102,40.658,2.1364,2.3443,0.8341,0
BATCHV2_000059,KMAT_TRUCK_01,2022-01-05,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,OFFROAD,RED,81,45,16,9,0.1621,24.441,50.584,55.661,89.181,2,8.925,84.309,34.151,73.983,2.073,3.3874,12.63,1.2681,3.1681,5.3429,1
BATCHV2_000060,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,STANDARD,RED,64,54,19,9,0.1614,24.579,48.25,55.0,99.0,0,8.174,84.844,30.221,63.85,2.3677,2.7447,35.697,1.9533,0.4841,2.172,0
BATCHV2_000061,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_04,V8,PREMIUM,STANDARD,BLUE,81,50,20,11,0.1337,27.456,56.015,65.813,92.651,1,7.442,88.605,38.399,61.569,2.2738,3.3368,8.669,1.3803,3.0192,1.991,0
BATCHV2_000062,KMAT_TRUCK_01,2022-01-05,PLANT_US_01,TRUCK_LINE_02,V6,STANDARD,STANDARD,BLUE,71,38,15,5,0.1114,22.187,48.217,64.572,95.69,2,7.056,93.857,31.962,81.043,1.6393,1.6366,14.304,1.0999,1.6355,2.0692,0
BATCHV2_000063,KMAT_TRUCK_01,2022-01-05,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,OFFROAD,RED,12,45,17,8,0.0828,24.966,48.122,73.285,91.663,2,5.862,76.637,2.271,96.813,1.6632,1.9912,68.477,1.7846,3.0364,1.05,0
BATCHV2_000064,KMAT_TRUCK_01,2022-01-05,PLANT_DE_01,TRUCK_LINE_03,V6,STANDARD,STANDARD,BLUE,22,39,16,5,0.148,21.014,44.915,78.91,89.84,0,7.213,68.763,26.7,86.677,2.6589,2.5645,29.727,2.4807,3.3428,2.5125,0
BATCHV2_000065,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_05,V6,STANDARD,STANDARD,RED,9,37,15,4,0.1297,24.017,44.537,67.34,96.469,6,8.406,75.737,3.317,81.664,1.7141,1.3408,21.728,0.9533,1.2467,1.5046,0
BATCHV2_000066,KMAT_TRUCK_01,2022-01-05,PLANT_IN_01,TRUCK_LINE_05,V6,PREMIUM,STANDARD,RED,38,45,16,6,0.1248,23.754,51.34,65.543,89.265,5,7.135,68.25,5.366,75.344,0.8789,2.9068,22.706,0.8755,4.2724,0.695,0
BATCHV2_000067,KMAT_TRUCK_01,2022-01-05,PLANT_US_01,TRUCK_LINE_02,V6,PREMIUM,OFFROAD,BLUE,16,52,19,11,0.1468,21.574,48.271,62.005,89.831,0,6.913,76.393,9.466,86.192,1.4434,2.5415,41.902,1.694,4.5386,2.1536,0
BATCHV2_000068,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V6,STANDARD,STANDARD,BLUE,27,41,15,6,0.1261,21.984,51.294,77.472,88.489,2,7.289,80.443,13.024,94.962,2.3573,1.5737,58.364,2.375,4.3,1.9042,0
BATCHV2_000069,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,STANDARD,RED,21,47,16,6,0.1649,22.087,54.443,80.169,88.558,6,7.031,80.841,7.454,89.787,2.1123,2.8437,29.033,1.8091,3.9614,1.3518,0
BATCHV2_000070,KMAT_TRUCK_01,2022-01-06,PLANT_IN_01,TRUCK_LINE_05,V8,STANDARD,STANDARD,RED,12,45,16,7,0.1041,27.282,49.369,63.928,93.584,1,5.331,89.17,21.279,76.876,2.474,2.1667,34.111,2.7487,2.3361,1.0011,0
BATCHV2_000071,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,STANDARD,BLUE,60,46,16,8,0.1493,20.827,43.971,67.443,93.57,6,8.558,78.196,22.543,83.485,2.0287,1.6441,15.746,1.1846,2.0361,1.5636,0
BATCHV2_000072,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V6,PREMIUM,STANDARD,RED,16,45,18,8,0.1654,23.594,46.756,73.109,92.549,6,5.481,89.926,15.987,93.725,1.9922,1.1731,26.394,1.0706,2.4745,5.3179,1
BATCHV2_000073,KMAT_TRUCK_01,2022-01-06,PLANT_US_01,TRUCK_LINE_01,V8,STANDARD,STANDARD,RED,31,46,17,9,0.1376,25.88,51.176,77.002,95.738,3,8.773,76.536,17.726,86.259,2.7069,1.9301,9.211,1.5847,1.4994,0.7363,0
