OBSERVATION_ID,SERIES_KEY,COMMODITY_GROUP,SUPPLIER_REGION,SUPPLIER_ID,INDEX_MONTH,FEATURE_AS_OF_DATE,APPROVED_ENERGY_FORECAST_INDEX,APPROVED_FREIGHT_FORECAST_INDEX,APPROVED_FX_FORECAST_INDEX,APPROVED_MARKET_PMI,APPROVED_PORT_CONGESTION_INDEX,SUPPLIER_LEAD_TIME_DAYS,SUPPLIER_RELIABILITY_SCORE,CONTRACT_ESCALATION_PCT,REALIZED_MATERIAL_INDEX
FMISV2_0000001,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-01-01,2017-12-01,102.9351,106.2305,100.3265,48.6363,56.1335,24.776,93.791,1.1663,106.69279
FMISV2_0000002,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-02-01,2018-01-01,104.463,102.7035,100.3004,50.9948,41.8915,21.662,91.592,1.4375,107.59644
FMISV2_0000003,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-03-01,2018-02-01,104.2012,103.5918,105.0774,49.4252,54.977,19.853,91.716,0.4186,109.2897
FMISV2_0000004,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-04-01,2018-03-01,105.138,103.5876,104.539,51.3662,47.1506,19.842,92.69,0.89,108.02906
FMISV2_0000005,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-05-01,2018-04-01,108.9989,107.7421,102.2665,51.5444,44.6762,22.088,92.37,1.1998,108.24856
FMISV2_0000006,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-06-01,2018-05-01,103.0247,89.8612,102.5119,51.4006,42.9213,23.218,93.302,1.0643,107.87379
FMISV2_0000007,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-07-01,2018-06-01,101.6263,97.8658,102.3842,50.5753,34.2305,20.353,93.604,1.3178,105.91848
FMISV2_0000008,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-08-01,2018-07-01,95.1124,98.4985,98.8459,50.5688,36.0903,15.259,92.494,1.8951,102.70407
FMISV2_0000009,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-09-01,2018-08-01,100.7065,95.9444,100.4153,48.5661,40.7119,22.223,93.614,1.7067,103.33022
FMISV2_0000010,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-10-01,2018-09-01,102.8332,96.9808,98.3104,48.9839,43.0843,17.752,92.225,1.1684,103.78001
FMISV2_0000011,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-11-01,2018-10-01,94.31,101.6977,96.3933,48.472,52.8899,16.747,92.575,0.6981,105.03611
FMISV2_0000012,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2018-12-01,2018-11-01,106.2305,103.9334,101.541,46.8643,59.6302,20.332,91.973,1.6605,105.7549
FMISV2_0000013,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-01-01,2018-12-01,104.4059,108.9392,102.5333,48.2305,39.572,20.285,93.062,1.474,107.05988
FMISV2_0000014,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-02-01,2019-01-01,104.8837,103.178,97.1323,46.8929,45.2941,24.32,92.11,1.1435,106.64071
FMISV2_0000015,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-03-01,2019-02-01,109.3531,108.4711,102.6932,50.1918,48.6169,23.845,95.651,1.2344,109.05415
FMISV2_0000016,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-04-01,2019-03-01,109.7496,102.3998,105.4515,49.2565,41.3393,24.89,92.3,0.9649,110.05032
FMISV2_0000017,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-05-01,2019-04-01,110.2095,106.756,101.4672,49.2849,39.8617,18.98,93.368,1.6362,112.84162
FMISV2_0000018,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-06-01,2019-05-01,108.2254,97.9224,101.9362,52.3753,47.4373,20.892,92.633,0.87,111.60512
FMISV2_0000019,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-07-01,2019-06-01,99.5688,94.3285,97.6613,51.466,38.0408,17.149,90.898,1.6135,111.19773
FMISV2_0000020,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-08-01,2019-07-01,103.3714,94.6544,103.4635,50.7377,39.4323,19.76,92.685,1.3679,108.65355
FMISV2_0000021,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-09-01,2019-08-01,98.0391,93.4916,102.121,54.667,57.5192,20.639,93.532,1.3033,108.41512
FMISV2_0000022,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-10-01,2019-09-01,102.989,103.6798,98.8679,53.6604,61.5225,25.52,91.445,1.6969,111.35259
FMISV2_0000023,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-11-01,2019-10-01,102.0679,106.9712,97.2276,50.0924,51.0232,19.938,93.312,1.5467,111.42319
FMISV2_0000024,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2019-12-01,2019-11-01,102.9959,112.5474,102.0734,51.9865,47.8538,23.307,92.185,1.1842,110.5682
FMISV2_0000025,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-01-01,2019-12-01,110.1435,110.9353,102.1071,53.376,48.3364,17.391,92.85,1.1318,113.31204
FMISV2_0000026,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-02-01,2020-01-01,115.7955,113.3031,103.3603,53.1077,49.9563,19.322,94.582,2.0958,113.70933
FMISV2_0000027,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-03-01,2020-02-01,109.2858,112.4017,103.2999,51.2515,54.1833,21.995,91.031,1.2168,115.37169
FMISV2_0000028,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-04-01,2020-03-01,110.9579,102.4057,102.4559,48.2291,44.104,23.641,92.186,1.4904,120.89838
FMISV2_0000029,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-05-01,2020-04-01,109.7981,104.8867,104.8723,47.3081,33.3903,18.574,95.534,1.344,119.30271
FMISV2_0000030,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-06-01,2020-05-01,117.5258,97.4377,103.3395,49.9225,40.85,22.223,93.604,1.7266,119.12564
FMISV2_0000031,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-07-01,2020-06-01,103.2119,105.1801,97.9262,47.1907,36.2782,21.002,93.777,1.9111,116.9922
FMISV2_0000032,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-08-01,2020-07-01,104.6328,101.2908,100.9279,45.8148,35.0467,21.67,93.886,1.6687,113.5622
FMISV2_0000033,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-09-01,2020-08-01,104.6045,93.7309,99.6554,45.0372,52.271,23.737,93.683,1.6112,111.77625
FMISV2_0000034,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-10-01,2020-09-01,106.7902,105.8281,99.3193,50.1332,42.8674,17.982,94.442,1.2517,113.5391
FMISV2_0000035,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-11-01,2020-10-01,103.5774,100.6185,99.436,48.5166,49.1294,22.796,92.213,1.6149,113.13298
FMISV2_0000036,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2020-12-01,2020-11-01,106.6203,106.4558,99.5908,49.6546,44.2504,19.754,92.81,1.4081,113.62114
FMISV2_0000037,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-01-01,2020-12-01,109.3489,114.0991,101.4544,52.8361,53.2156,22.195,93.086,1.9998,115.88264
FMISV2_0000038,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-02-01,2021-01-01,115.0235,104.2425,102.4264,51.3815,58.0388,22.806,92.94,1.621,116.83229
FMISV2_0000039,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-03-01,2021-02-01,111.9497,104.6707,105.278,53.4874,39.5819,22.772,93.026,1.9403,120.12794
FMISV2_0000040,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-04-01,2021-03-01,119.6959,108.6164,104.3066,53.3608,46.4441,21.371,92.277,1.6527,120.42086
FMISV2_0000041,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-05-01,2021-04-01,112.7161,96.394,104.4269,53.6997,38.7841,17.837,93.322,2.316,120.89589
FMISV2_0000042,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-06-01,2021-05-01,115.5709,99.8472,103.3495,52.1906,35.5554,16.123,93.004,1.9107,119.19936
FMISV2_0000043,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-07-01,2021-06-01,110.2152,96.8253,103.599,51.9469,35.4923,19.998,90.776,2.1188,119.18842
FMISV2_0000044,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-08-01,2021-07-01,110.1049,94.9334,100.482,49.9846,35.6575,21.488,92.951,2.5611,120.90675
FMISV2_0000045,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-09-01,2021-08-01,106.7397,107.617,103.6628,50.4862,41.908,19.481,94.133,1.4068,120.3481
FMISV2_0000046,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-10-01,2021-09-01,110.6796,103.1365,100.6948,51.3607,42.8419,22.27,93.596,1.4126,123.77599
FMISV2_0000047,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-11-01,2021-10-01,115.1356,105.9621,100.6623,49.3118,54.4724,18.384,92.195,2.0494,123.11797
FMISV2_0000048,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2021-12-01,2021-11-01,111.337,105.5673,99.5581,46.4528,55.7673,22.146,94.041,1.6812,121.72954
FMISV2_0000049,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-01-01,2021-12-01,112.1994,123.5805,103.4878,46.7115,48.5703,20.133,89.887,2.0363,122.75448
FMISV2_0000050,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-02-01,2022-01-01,111.0395,108.0289,105.7538,46.3247,53.8425,22.156,92.8,1.9368,122.12825
FMISV2_0000051,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-03-01,2022-02-01,117.252,112.121,105.5938,47.844,46.8625,15.917,93.968,1.7668,127.58952
FMISV2_0000052,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-04-01,2022-03-01,121.0944,101.5237,105.3071,48.0325,40.8477,19.492,91.036,2.1855,126.46436
FMISV2_0000053,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-05-01,2022-04-01,114.3896,107.384,107.2175,46.61,52.7075,25.165,92.355,2.124,122.40188
FMISV2_0000054,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-06-01,2022-05-01,113.7828,101.4587,103.5212,46.9302,38.2018,20.443,93.336,2.4852,121.01321
FMISV2_0000055,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-07-01,2022-06-01,114.0836,102.0775,104.1125,51.5686,39.4617,20.38,92.976,1.579,119.23342
FMISV2_0000056,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-08-01,2022-07-01,117.7614,102.1247,102.2349,51.5157,40.2741,19.929,90.841,1.6971,119.29876
FMISV2_0000057,STEEL|NA|SUP_ST_01,STEEL,NA,SUP_ST_01,2022-09-01,2022-08-01,107.0092,95.0342,100.6684,51.8277,40.9866,20.907,93.134,1.9778,118.08994
