OPERATION_RUN_ID,RUN_DATE,KMAT_ID,WORK_CENTER_ID,MACHINE_ID,OPERATION_ID,ENGINE,CAB,WHEEL,COLOR,MACHINE_AGE_YEARS,MACHINE_HOURS_RUN,PRE_RUN_VIBRATION_MM_S,PRE_RUN_TEMPERATURE_C,DAYS_SINCE_MAINTENANCE,TOOL_USAGE_CYCLES_PRE_RUN,SETUP_TIME_MINUTES,CONFIG_COMPLEXITY_SCORE,STANDARD_MAINTENANCE_COST_USD,SHIFT_LOAD_PCT,OPERATOR_EXPERIENCE_YEARS,RECENT_30D_DOWNTIME_MIN,PRIOR_30D_MAINTENANCE_COUNT,MACHINE_HEALTH_SCORE,PRIOR_30D_MEAN_VIBRATION_MM_S,PRIOR_WORK_CENTER_TDS_AVG,ACTUAL_MAINTENANCE_COST_USD,ACTUAL_TDS_FACTOR,ACTUAL_TOOL_REPLACEMENT_COUNT,ACTUAL_DOWNTIME_MINUTES
TDSV2_0000001,2022-01-01,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_01,OP_ENG_MOUNT,V8,PREMIUM,STANDARD,RED,10.6271,14241.97,3.7796,63.0463,13.67,917.31,43.748,73.217,407.07,90.094,6.052,26.471,2,83.557,3.335,1.196,680.39,1.646748,1,32.401
TDSV2_0000002,2022-01-01,KMAT_TRUCK_01,WC_FINAL_TEST,MC_TST_02,OP_TST_DYNO,V8,PREMIUM,STANDARD,RED,10.2933,6308.27,4.1835,61.1589,55.779,1417.03,35.217,65.898,381.98,78.741,4.256,48.73,1,73.201,3.4867,1.3573,859.09,2.122933,4,74.405
TDSV2_0000003,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_01,OP_ASM_CAB,V6,PREMIUM,STANDARD,RED,10.5017,18286.27,4.6093,62.95,19.311,1942.21,38.35,58.945,539.72,96.592,11.954,30.635,3,74.715,3.4519,1.1906,1009.93,1.838163,1,36.356
TDSV2_0000004,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_02,OP_ASM_FRAME,V6,STANDARD,OFFROAD,BLUE,3.9631,6168.74,3.8525,59.4356,14.593,745.25,42.335,45.929,276.55,82.027,5.148,21.016,2,75.139,2.8562,1.1492,317.21,1.122891,0,20.812
TDSV2_0000005,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_01,OP_ASM_FRAME,V8,STANDARD,STANDARD,BLUE,10.3296,17223.21,4.2134,67.1343,21.699,1590.67,26.806,49.441,495.07,79.506,9.178,50.211,1,76.13,3.5982,1.3552,696.36,1.753266,2,38.217
TDSV2_0000006,2022-01-01,KMAT_TRUCK_01,WC_ENGINE,MC_ENG_02,OP_ENG_MOUNT,V6,STANDARD,OFFROAD,RED,7.2787,22679.14,3.0978,60.8208,10.512,1533.3,45.689,53.168,505.86,92.802,5.16,15.427,3,88.2,2.5348,1.2103,882.67,1.719856,2,44.143
TDSV2_0000007,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_03,OP_ASM_FINAL,V8,STANDARD,OFFROAD,RED,3.3733,21729.99,4.1875,65.8045,29.542,1201.44,48.344,78.503,435.2,79.879,1.673,27.097,3,76.101,3.5106,1.3047,797.74,1.929476,3,51.265
TDSV2_0000008,2022-01-01,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_WHEEL,V8,STANDARD,STANDARD,BLUE,6.5289,23663.93,3.7723,68.8199,22.999,846.95,40.677,67.855,511.8,88.0,9.265,6.091,2,81.042,3.4082,1.237,797.43,1.514523,0,30.027
TDSV2_0000009,2022-01-01,KMAT_TRUCK_01,WC_CHASSIS,MC_CHA_03,OP_CHA_AXLE,V6,PREMIUM,OFFROAD,RED,6.9933,24344.1,5.7746,67.7726,46.39,1226.17,47.536,66.146,483.45,76.394,6.577,21.636,2,75.707,4.2284,1.4032,1110.93,2.368538,2,66.471
TDSV2_0000010,2022-01-01,KMAT_TRUCK_01,WC_ASSEMBLY,MC_ASM_01,OP_ASM_FINAL,V8,PREMIUM,STANDARD,RED,9.5205,16469.98,4.3298,62.0941,9.485,2237.75,45.333,63.581,485.83,74.528,4.704,60.674,1,69.755,3.2968,1.2301,861.48,1.925119,1,45.559
